id,name,fullName,strength,speed,durability,power,combat,race,height/0,height/1,weight/0,weight/1,eyeColor,hairColor,publisher
80,Beyonder,,100,100,100,100,84,God / Eternal,-,0 cm,- lb,0 kg,-,-,Marvel Comics
81,Big Barda,Barda Free,100,79,100,100,100,New God,6'2,188 cm,300 lb,135 kg,Blue,Black,DC Comics
82,Big Daddy,Damon Macready,10,12,32,22,64,,-,0 cm,- lb,0 kg,-,-,Icon Comics
83,Big Man,Frederick Foswell,12,23,28,19,70,,5'5,165 cm,157 lb,71 kg,Blue,Brown,Marvel Comics
84,Bill Harken,,36,33,60,27,40,Alpha,-,0 cm,- lb,0 kg,-,-,SyFy
87,Bionic Woman,Jamie Sommers,37,33,40,20,40,Cyborg,-,0 cm,- lb,0 kg,Blue,Black,
88,Bird-Brain,,10,35,28,21,42,,-,0 cm,- lb,0 kg,-,-,Marvel Comics
92,Bishop,Lucas Bishop,14,23,75,100,65,Mutant,6'6,198 cm,275 lb,124 kg,Brown,No Hair,Marvel Comics
93,Bizarro,Bizarro,95,100,100,100,85,Bizarro,6'3,191 cm,345 lb,155 kg,Black,Black,DC Comics
95,Black Adam,Teth-Adam,100,92,100,100,56,,6'3,191 cm,250 lb,113 kg,Brown,Black,DC Comics
96,Black Bolt,Blackagar Boltagon,67,100,84,100,56,Inhuman,6'2,188 cm,210 lb,95 kg,Blue,Black,Marvel Comics
97,Black Canary,Laurel Lance,8,33,20,52,80,Metahuman,5'7,170 cm,130 lb,59 kg,Blue,Blond,DC Comics
98,Black Canary,Dinah Drake Lance,8,33,15,45,80,Human,5'5,165 cm,128 lb,58 kg,Blue,Blond,DC Comics
99,Black Cat,Felicia Hardy,16,33,10,23,70,Human,5'10,178 cm,120 lb,54 kg,Green,Blond,Marvel Comics
100,Black Flash,,10,100,80,100,30,God / Eternal,-,0 cm,- lb,0 kg,-,-,DC Comics
102,Black Knight III,Dane Whitman,10,8,70,43,70,Human,6'0,183 cm,190 lb,86 kg,Brown,Brown,Marvel Comics
103,Black Lightning,Jefferson Pierce,11,53,28,70,75,,6'1,185 cm,200 lb,90 kg,Brown,No Hair,DC Comics
104,Black Mamba,Tanya Sealy,10,35,42,88,65,,5'7,170 cm,115 lb,52 kg,Green,Black,Marvel Comics
105,Black Manta,David,28,50,60,76,85,Human,6'2,188 cm,205 lb,92 kg,Black,No Hair,DC Comics
106,Black Panther,T'Challa,16,30,60,41,100,Human,6'0,183 cm,200 lb,90 kg,Brown,Black,Marvel Comics
107,Black Widow,Natasha Romanoff,13,33,30,36,100,Human,5'7,170 cm,131 lb,59 kg,Green,Auburn,Marvel Comics
109,Blackout,,32,45,80,45,65,Demon,6'3,191 cm,230 lb,104 kg,Red,White,Marvel Comics
110,Blackwing,Joseph Manfredi,10,35,32,20,56,,6'1,185 cm,190 lb,86 kg,Blue,Black,Marvel Comics
111,Blackwulf,Lucian,28,8,30,69,25,Alien,6'2,188 cm,195 lb,88 kg,Red,White,Marvel Comics
112,Blade,Eric Brooks,28,38,50,40,90,Vampire,6'2,188 cm,215 lb,97 kg,Brown,Black,Marvel Comics
114,Bling!,Roxanne Washington,14,12,90,52,28,,5'6,168 cm,152 lb,68 kg,-,-,Marvel Comics
115,Blink,Clarice Ferguson,8,20,28,77,64,Mutant,5'5,165 cm,125 lb,56 kg,Green,Magenta,Marvel Comics
118,Blizzard II,Donald Gill,10,27,42,47,56,,5'9,175 cm,170 lb,77 kg,Brown,Brown,Marvel Comics
119,Blob,Frederick J. Dukes,83,23,95,28,72,,5'10,178 cm,510 lb,230 kg,Brown,Brown,Marvel Comics
120,Bloodaxe,Jackie Lukus,80,33,80,100,84,Human,7'2,218 cm,1100 lb,495 kg,Blue,Brown,Marvel Comics
121,Bloodhawk,Lemuel Krug,10,50,80,80,64,Mutant,-,0 cm,- lb,0 kg,Black,No Hair,Marvel Comics
126,Blue Beetle III,Jaime Reyes,34,58,80,100,30,Human,-,0 cm,- lb,0 kg,Brown,Black,DC Comics
127,Boba Fett,,10,38,36,68,70,Human / Clone,6'0,183 cm,- lb,0 kg,Brown,Black,George Lucas
130,Boom-Boom,Tabitha Smith,10,12,42,57,64,Mutant,5'5,165 cm,122 lb,55 kg,Blue,Blond,Meltdown
135,Box IV,Madison Jeffries,75,23,28,11,56,,-,0 cm,- lb,0 kg,Brown,Brown / Black,Gemini V
136,Brainiac,Vril Dox,95,63,90,60,75,Android,6'6,198 cm,300 lb,135 kg,Green,No Hair,DC Comics
137,Brainiac 5,Querl Dox,10,23,28,60,32,,5'7,170 cm,135 lb,61 kg,Green,Blond,DC Comics
139,Brundlefly,Seth Brundle,32,25,40,27,15,Mutant,6'4,193 cm,- lb,0 kg,-,-,
140,Buffy,Buffy Anne Summers,28,42,70,48,60,Human,5'2,157 cm,115 lb,52 kg,Green,Blond,Dark Horse Comics
141,Bullseye,Lester,11,25,70,20,70,Human,6'0,183 cm,200 lb,90 kg,blue,blond,Marvel Comics
142,Bumblebee,Karen Beecher,28,25,10,47,35,Human,5'7,170 cm,130 lb,59 kg,Brown,Black,DC Comics
144,Bushido,Ryuko Orsono,10,8,10,19,70,Human,-,0 cm,- lb,0 kg,-,-,DC Comics
145,Cable,Nathan Summers,48,23,56,100,80,Mutant,6'8,203 cm,350 lb,158 kg,Blue,White,Marvel Comics
146,Callisto,Callisto,53,23,42,52,85,,5'9,175 cm,165 lb,74 kg,Blue,Black,Marvel Comics
147,Cameron Hicks,,10,23,28,51,70,Alpha,-,0 cm,- lb,0 kg,-,-,SyFy
148,Cannonball,Samuel Zachery Guthrie,28,67,99,94,56,,6'0,183 cm,181 lb,81 kg,Blue,Blond,Marvel Comics
149,Captain America,Steve Rogers,19,38,55,60,100,Human,6'2,188 cm,240 lb,108 kg,blue,blond,Marvel Comics
150,Captain Atom,Nathaniel Adam,93,83,90,100,80,Human / Radiation,6'4,193 cm,200 lb,90 kg,Blue,Silver,DC Comics
151,Captain Britain,Brian Braddock,77,50,60,31,80,Human,6'6,198 cm,257 lb,116 kg,Blue,Blond,Marvel Comics
152,Captain Cold,Leonard Snart,10,17,20,28,20,Human,-,0 cm,- lb,0 kg,Brown,Brown,DC Comics
154,Captain Hindsight,Jack Brolin,10,83,30,10,20,Human,-,0 cm,- lb,0 kg,-,Black,South Park
156,Captain Marvel,Billy Batson,100,88,95,100,75,Human,6'4,193 cm,225 lb,101 kg,Blue,Black,DC Comics
157,Captain Marvel,Carol Danvers,88,71,95,100,90,Human-Kree,5'11,180 cm,165 lb,74 kg,Blue,Blond,Binary
158,Captain Marvel II,Frederick Christopher Freeman,81,27,90,34,56,Human,5'9,175 cm,165 lb,74 kg,Blue,Black,DC Comics
160,Captain Planet,,88,75,80,100,60,God / Eternal,-,0 cm,- lb,0 kg,Red,Green,Marvel Comics
162,Carnage,Cletus Kasady,63,70,84,88,90,Symbiote,6'1,185 cm,190 lb,86 kg,Green,Red,Marvel Comics
165,Catwoman,Selina Kyle,11,33,28,27,85,Human,5'9,175 cm,135 lb,61 kg,Green,Black,DC Comics
167,Century,,80,53,64,100,100,Alien,6'7,201 cm,215 lb,97 kg,White,White,Marvel Comics
169,Chamber,Jonothon Evan Starsmore,10,20,80,57,64,Mutant,5'9,175 cm,140 lb,63 kg,Brown,Brown,Marvel Comics
170,Chameleon,Dmitri Anatoly Smerdyakov Kravinoff,10,12,28,28,28,,-,0 cm,- lb,0 kg,-,-,DC Comics
171,Changeling,Kevin Sidney,10,23,42,64,64,,5'11,180 cm,180 lb,81 kg,Brown,Black,Marvel Comics
172,Cheetah,Priscilla Rich,8,42,20,32,70,Human,5'4,163 cm,110 lb,50 kg,Green,Blond,DC Comics
174,Cheetah III,Barbara Minerva,100,88,80,78,95,Human,5'9,175 cm,120 lb,54 kg,Brown,Brown,DC Comics
176,Chuck Norris,Carlos Ray Norris,80,47,56,42,99,,5'10,178 cm,- lb,0 kg,-,-,
177,Citizen Steel,Nathan Heywood,95,33,100,23,60,Human,6'0,183 cm,378 lb,170 kg,Green,Red,DC Comics
178,Claire Bennet,Claire Bennet,9,12,100,90,28,,-,0 cm,- lb,0 kg,Blue,Blond,NBC - Heroes
180,Cloak,Tyrone Johnson,10,47,64,100,56,,7'5,226 cm,155 lb,70 kg,brown,black,Marvel Comics
181,Clock King,William Tockman,10,17,10,7,40,Human,5'10,178 cm,173 lb,78 kg,Blue,Black,DC Comics
185,Colossus,Piotr Nikolaievitch Rasputin,83,33,100,45,80,Mutant,7'5,226 cm,500 lb,225 kg,Silver,Black,Marvel Comics
186,Copycat,Vanessa Carlysle,10,21,25,54,60,Mutant,6'0,183 cm,148 lb,67 kg,Red,White,Marvel Comics
188,Cottonmouth,Burchell Clemens,10,8,10,27,25,Human,6'0,183 cm,220 lb,99 kg,Brown,Black,Marvel Comics
191,Crystal,Crystallia Amaquelin,16,12,14,61,56,Inhuman,5'6,168 cm,110 lb,50 kg,Green,Red,Marvel Comics
194,Cyborg,Victor Stone,53,42,85,71,64,Cyborg,6'6,198 cm,385 lb,173 kg,Brown,Black,DC Comics
195,Cyborg Superman,Henry Henshaw,93,92,100,100,80,Cyborg,-,0 cm,- lb,0 kg,Blue,Black,DC Comics
196,Cyclops,Scott Summers,10,23,42,76,80,Mutant,6'3,191 cm,195 lb,88 kg,Brown,Brown,Marvel Comics
198,Dagger,Tandy Bowen,10,35,42,52,70,,"Shaker Heights, Ohio",,116 lb,52 kg,Blue,Blond,Marvel Comics
200,Daphne Powell,Daphne Powell,10,8,10,56,10,,-,0 cm,- lb,0 kg,-,-,ABC Studios
201,Daredevil,Matt Murdock,13,25,35,61,100,Human,6'0,183 cm,200 lb,90 kg,Blue,Red,Marvel Comics
202,Darkhawk,Christopher Powell,32,33,70,74,64,Human,6'1,185 cm,180 lb,81 kg,Brown,Brown,Marvel Comics
203,Darkman,Peyton Westlake,14,23,85,12,28,,-,0 cm,- lb,0 kg,-,-,Universal Studios
204,Darkseid,Uxas,100,83,100,100,95,New God,8'9,267 cm,1815 lb,817 kg,Red,No Hair,DC Comics
206,Darkstar,Laynia Petrovna,8,35,42,79,64,Mutant,5'6,168 cm,125 lb,56 kg,Brown,Blond,Marvel Comics
207,Darth Maul,,48,50,30,100,100,Dathomirian Zabrak,5'7,170 cm,- lb,0 kg,Yellow / Red,-,George Lucas
208,Darth Vader,Anakin Skywalker,48,33,35,100,100,Cyborg,6'6,198 cm,300 lb,135 kg,Yellow,No Hair,George Lucas
209,Dash,Dashiell Robert Parr,12,92,60,20,30,Human,4'0,122 cm,60 lb,27 kg,Blue,Blond,Dark Horse Comics
210,Data,Data,32,21,40,56,50,Android,-,0 cm,- lb,0 kg,Yellow,Brown,Star Trek
211,Dazzler,Alison Blaire,10,33,60,100,55,Mutant,5'8,173 cm,115 lb,52 kg,Blue,Blond,Marvel Comics
212,Deadman,Boston Brand,10,33,100,100,42,Human,6'0,183 cm,201 lb,90 kg,Blue,Black,DC Comics
213,Deadpool,Wade Wilson,32,50,100,100,100,Mutant,6'2,188 cm,210 lb,95 kg,Brown,No Hair,Evil Deadpool
214,Deadshot,Floyd Lawton,10,23,28,55,80,Human,6'1,185 cm,202 lb,91 kg,Brown,Brown,DC Comics
215,Deathlok,Luther Manning,32,30,70,40,60,Cyborg,6'4,193 cm,395 lb,178 kg,Brown,Grey,Marvel Comics
216,Deathstroke,Slade Joseph Wilson,30,35,100,47,90,Human,6'4,193 cm,225 lb,101 kg,Blue,White,DC Comics
217,Demogoblin,,48,42,35,67,60,Demon,6'1,185 cm,210 lb,95 kg,Red,No Hair,Marvel Comics
218,Destroyer,,95,58,98,85,70,,6'2,188 cm,850 lb,383 kg,-,-,Marvel Comics
219,Diamondback,Willis Stryker,16,23,28,45,60,Human,6'4,193 cm,200 lb,90 kg,Brown,Black,Marvel Comics
220,DL Hawkins,Daniel Lawrence Hawkins,12,12,56,48,56,,-,0 cm,- lb,0 kg,-,-,NBC - Heroes
221,Doc Samson,Leonard Samson,80,33,80,36,70,Human / Radiation,6'6,198 cm,380 lb,171 kg,Blue,Green,Marvel Comics
222,Doctor Doom,Victor von Doom,32,20,100,100,84,Human,6'7,201 cm,415 lb,187 kg,Brown,Brown,Marvel Comics
224,Doctor Fate,Kent Nelson,16,25,80,100,50,Human,6'2,188 cm,197 lb,89 kg,Blue,Blond,DC Comics
225,Doctor Octopus,Otto Octavius,48,33,40,53,65,Human,5'9,175 cm,245 lb,110 kg,Brown,Brown,Marvel Comics
226,Doctor Strange,Stephen Strange,10,12,84,100,60,Human,6'2,188 cm,180 lb,81 kg,Grey,Black,Marvel Comics
227,Domino,Neena Thurman,10,27,28,49,74,Human,5'8,173 cm,120 lb,54 kg,Blue,Black,Marvel Comics
228,Donatello,,14,46,60,58,75,Mutant,-,0 cm,- lb,0 kg,Green,No Hair,IDW Publishing
230,Doomsday,Doomsday,100,67,100,100,90,Alien,8'0,244 cm,915 lb,412 kg,Red,White,DC Comics
231,Doppelganger,,63,60,95,69,84,,6'5,196 cm,230 lb,104 kg,White,No Hair,Marvel Comics
232,Dormammu,Dormammu,95,83,100,100,80,,6'1,185 cm,- lb,0 kg,Yellow,No Hair,Marvel Comics
233,Dr Manhattan,Jonathan Osterman,100,42,100,100,42,Human / Cosmic,-,0 cm,- lb,0 kg,White,No Hair,DC Comics
234,Drax the Destroyer,Arthur Sampson Douglas,80,25,85,46,65,Human / Altered,6'4,193 cm,680 lb,306 kg,Red,No Hair,Marvel Comics
235,Ego,Ego,80,83,99,71,28,,-,0 cm,- lb,0 kg,-,-,Marvel Comics
236,Elastigirl,Helen Parr,32,33,95,52,70,Human,5'6,168 cm,125 lb,56 kg,Brown,Brown,Dark Horse Comics
237,Electro,Maxwell Dillon,10,50,56,67,64,Human,5'11,180 cm,165 lb,74 kg,Blue,Auburn,Marvel Comics
238,Elektra,Elektra Natchios,11,30,28,59,100,Human,5'9,175 cm,130 lb,59 kg,Blue,Black,Marvel Comics
239,Elle Bishop,,8,12,42,63,42,,-,0 cm,- lb,0 kg,Blue,Blond,NBC - Heroes
240,Elongated Man,Ralph Dibny,10,33,90,44,40,,6'1,185 cm,178 lb,80 kg,Blue,Red,DC Comics
241,Emma Frost,Emma Frost,63,35,90,100,42,,5'10',178 cm,144 lb,65 kg,Blue,Blond,Marvel Comics
242,Enchantress,June Moone,14,25,60,100,40,Human,5'6,168 cm,126 lb,57 kg,Blue,Blond,DC Comics
245,Ethan Hunt,Ethan Hunt,11,29,30,26,95,Human,5'6,168 cm,- lb,0 kg,Brown,Brown,
246,Etrigan,Jason Blood,85,17,100,100,50,Demon,6'4,193 cm,452 lb,203 kg,Red,No Hair,DC Comics
247,Evil Deadpool,Wade Wilson,32,50,100,100,100,Mutant,6'2,188 cm,210 lb,95 kg,White,Red,Deadpool
248,Evilhawk,Dargin Bokk,32,33,70,85,64,Alien,6'3,191 cm,235 lb,106 kg,Red,Black,Marvel Comics
249,Exodus,Bennet du Paris,81,28,28,100,70,Mutant,6'0,183 cm,195 lb,88 kg,Blue,Black,Marvel Comics
251,Falcon,Sam Wilson,13,50,28,22,64,Human,6'2,188 cm,240 lb,108 kg,Brown,Black,Marvel Comics
252,Fallen One II,,85,83,100,100,56,,-,0 cm,- lb,0 kg,Black,Blue,Marvel Comics
253,Faora,Faora Hu-Ul,95,75,100,98,90,Kryptonian,-,0 cm,- lb,0 kg,-,-,DC Comics
254,Feral,Maria Callasantos,28,45,28,27,70,,5'9,175 cm,110 lb,50 kg,Yellow (without irises),Orange / White,Marvel Comics
256,Fin Fang Foom,,81,23,100,75,70,Kakarantharaian,32'0,975 cm,40000 lb,18 tons,Red,No Hair,Marvel Comics
257,Firebird,Bonita Juarez,8,40,14,100,42,,5'5',165 cm,125 lb,56 kg,Brown,Black,Marvel Comics
258,Firelord,Pyreus Kril,63,75,90,52,28,,6'4',193 cm,220 lb,99 kg,White,Yellow,Marvel Comics
259,Firestar,Angelica Jones,8,54,55,71,32,Mutant,5'8,173 cm,125 lb,56 kg,Green,Red,Marvel Comics
260,Firestorm,Jason Rusch,53,58,56,100,42,,-,0 cm,- lb,0 kg,Brown,Black,DC Comics
261,Firestorm,Ronald Raymond,80,58,80,100,40,Human,6'2,188 cm,202 lb,91 kg,Blue,Auburn,DC Comics
263,Flash,Jay Garrick,10,100,50,68,32,Human,5'11,180 cm,179 lb,81 kg,Blue,Brown / White,DC Comics
265,Flash II,Barry Allen,48,100,60,100,60,Black Racer,6'0,183 cm,195 lb,88 kg,Blue,Blond,Black Racer
266,Flash III,Wally West,10,100,60,100,32,Human,6'0,183 cm,190 lb,86 kg,-,-,Speed Demon
267,Flash IV,Bartholomew Allen II,10,100,32,100,48,Human,5'2,157 cm,115 lb,52 kg,Yellow,Auburn,Impulse
268,Forge,,10,12,28,25,48,,6',183 cm,180 lb,81 kg,Brown,Black,Marvel Comics
269,Franklin Richards,Franklin  Richards,80,50,60,100,50,Mutant,4'8,142 cm,100 lb,45 kg,Blue,Blond,Marvel Comics
270,Franklin Storm,Dr. Franklin Storm,10,1,1,0,10,,6'2',188 cm,205 lb,92 kg,Blue,Grey,Marvel Comics
271,Frenzy,Joanna Cargill,53,35,100,38,52,,6'11,211 cm,230 lb,104 kg,Brown,Black,Marvel Comics
273,Galactus,Galan,100,83,100,100,50,Cosmic Entity,28'9,876 cm,36400 lb,16 tons,Black,Black,Marvel Comics
274,Gambit,Remy Etienne LeBeau,10,23,28,55,84,Mutant,6'1,185 cm,179 lb,81 kg,Red,Brown,Marvel Comics
275,Gamora,Gamora Zen Whoberi Ben Titan,85,42,85,53,100,Zen-Whoberian,6'0,183 cm,170 lb,77 kg,Yellow,Black,Marvel Comics
277,Gary Bell,Gary Bell,5,8,10,54,10,Alpha,-,0 cm,- lb,0 kg,-,-,SyFy
278,General Zod,Dru-Zod,100,96,100,100,95,Kryptonian,-,0 cm,- lb,0 kg,Black,Black,DC Comics
280,Ghost Rider,Johnny Blaze,55,25,100,100,60,Demon,6'2,188 cm,220 lb,99 kg,Red,No Hair,Marvel Comics
284,Giganta,Doris Zuel,89,23,85,32,42,,205,62.5 meters,1400 lb,630 kg,Green,Red,DC Comics
285,Gladiator,Kallark,100,100,100,77,70,Strontian,6'6,198 cm,595 lb,268 kg,Blue,Blue,Marvel Comics
286,Goblin Queen,Madelyne Jennifer Pryor,10,23,28,65,56,,5'6,168 cm,110 lb,50 kg,Green,Red,Marvel Comics
287,Godzilla,Gojira,100,54,100,100,20,Kaiju,354'4,108.0 meters,200000000 lb,"90,000 tons",-,-,
288,Gog,,34,47,72,39,56,,-,0 cm,- lb,0 kg,-,-,DC Comics
289,Goku,Kakarot,100,75,90,100,100,Saiyan,5'9,175 cm,137 lb,62 kg,-,-,Shueisha
294,Gorilla Grodd,Grodd,53,33,70,100,65,Gorilla,6'6,198 cm,600 lb,270 kg,Yellow,Black,DC Comics
296,Gravity,Greg Willis,32,33,40,69,30,Human,5'10,178 cm,175 lb,79 kg,Blue,Brown,Marvel Comics
297,Greedo,Greedo,10,13,15,31,40,Rodian,5'7,170 cm,- lb,0 kg,Purple,-,George Lucas
298,Green Arrow,Oliver Queen,12,35,28,39,90,Human,6'2,188 cm,195 lb,88 kg,Green,Blond,DC Comics
299,Green Goblin,Norman Osborn,48,38,60,48,50,Human,5'11,180 cm,185 lb,83 kg,Blue,Auburn,Marvel Comics
300,Green Goblin II,Harold Osborn,55,37,50,44,26,,5'10,178 cm,170 lb,77 kg,Blue,Auburn,Marvel Comics
303,Groot,Groot,85,33,70,100,64,Flora Colossus,23'0,701 cm,8200 lb,4 tons,Yellow,-,Marvel Comics
305,Guy Gardner,Guy Gardner,90,53,64,100,64,Human-Vuldarian,6'2,188 cm,210 lb,95 kg,Blue,Red,DC Comics
306,Hal Jordan,Hal Jordan,90,75,80,100,70,Human,6'2,188 cm,200 lb,90 kg,Brown,Brown,DC Comics
307,Han Solo,Han Solo,10,17,20,43,60,Human,6'0,183 cm,176 lb,79 kg,Brown,Brown,George Lucas
308,Hancock,John Hancock,90,67,100,100,50,Human,6'2,188 cm,- lb,0 kg,Brown,Black,Sony Pictures
309,Harley Quinn,Harley Quinn,12,33,65,55,80,Human,5'7,170 cm,140 lb,63 kg,Blue,Blond,DC Comics
